/in X,/in Y,/output X,/output Y
2.392773980551725e-08,1,2.392773980551725e-08,6.447189645945355e-07
2.446386990275862e-08,1,2.446386990275862e-08,-5.778681196462769e-07
2.5e-08,1,2.5e-08,6.318772329154718e-07
2.50015625e-08,0.9843749999999906,2.50015625e-08,-0.002239280717340439
2.50046875e-08,0.9531249999999882,2.50046875e-08,-0.004471200286606174
2.50109375e-08,0.8906249999999836,2.50109375e-08,-0.004907559514427272
2.501774466969951e-08,0.8225533030049497,2.501774466969951e-08,-0.00603950551979429
2.502578295474206e-08,0.742170452579423,2.502578295474206e-08,-0.008066439526695515
2.504185952482716e-08,0.5814047517283696,2.504185952482716e-08,-0.01548540427430564
2.504556701817575e-08,0.5443298182425023,2.504556701817575e-08,-0.01667616371754628
2.505298200487292e-08,0.4701799512707676,2.505298200487292e-08,-0.001991839538666957
2.50575769452992e-08,0.4242305470080086,2.50575769452992e-08,0.03458588639444832
2.506266814555241e-08,0.3733185444759259,2.506266814555241e-08,0.1342427729415131
2.506657422271924e-08,0.3342577728076587,2.506657422271924e-08,0.2638812871311249
2.507130248509845e-08,0.2869751490155211,2.507130248509845e-08,0.488239830936221
2.507431640001225e-08,0.2568359998775411,2.507431640001225e-08,0.6626274807475515
2.507638246367117e-08,0.23617536328834,2.507638246367117e-08,0.7856505223638319
2.507812774867076e-08,0.2187225132924272,2.507812774867076e-08,0.8762680696282564
2.508005443978617e-08,0.1994556021383377,2.508005443978617e-08,0.9389423551755223
2.50816771809367e-08,0.1832281906329952,2.50816771809367e-08,0.9635853916561552
2.508322221913559e-08,0.1677778086441366,2.508322221913559e-08,0.9760624515189154
2.508489870788864e-08,0.1510129211136009,2.508489870788864e-08,0.9838414773239819
2.508705641948583e-08,0.1294358051416753,2.508705641948583e-08,0.9890367288708218
